Species,LATITUDE,LONGITUDE
Artibeus obscurus,-1.8025,-76.78444444
Artibeus obscurus,-1.702,-79.16506111
Artibeus obscurus,-1.592972222,-75.97299722
Artibeus obscurus,-1.551388889,-78.02277778
Artibeus obscurus,-1.510833333,-78.06694444
Artibeus obscurus,-1.474444444,-77.65055556
Artibeus obscurus,-1.471666667,-77.45166667
Artibeus obscurus,-1.470833333,-77.43333333
Artibeus obscurus,-1.470494444,-77.99384722
Artibeus obscurus,-1.466666667,-78.11666667
Artibeus obscurus,-1.405713,-77.99548873
Artibeus obscurus,-1.390277778,-77.41527778
Artibeus obscurus,-1.388888889,-77.68333333
Artibeus obscurus,-1.307088,-76.07154229
Artibeus obscurus,-1.299,-76.137
Artibeus obscurus,-1.296997222,-76.149
Artibeus obscurus,-1.166666667,-77.16666667
Artibeus obscurus,-0.583333333,-75.48333333
Artibeus obscurus,-0.566666667,-75.26666667
Artibeus obscurus,-0.56,-75.49
Artibeus obscurus,-0.4,-76.63333333
Artibeus obscurus,-0.4,-75.63333333
Artibeus obscurus,-0.388359,-76.06978021
