OBJECTID,Family,Species,Trophic_Guild,Weight,SOURCE,Weight,Source 2,MUSEUM NUMBER ,Provincia,Localidad,Lat,Long,LATITUDE,LONGITUDE,Elevation,Reference,,,,,,,,
65,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MNHN 1977.355,Pastaza,Sarayacu,01 44' S,77 29' W,-1.733333,-77.483333,400,Tirira & Arévalo 2012,,,,,,,,
66,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,QCAZ 10756,Pastaza,Tarangaro,01 23' S,77 23' W,-1.383333,-77.383333,350,Tirira & Arévalo 2012,,,,,,,,
67,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 12458,Pastaza,"Bameno, Bameno Sur  Parque Nacional Yasuí","1°17'56,39""S","76°8'13,2""W",-1.299000,-76.137000,204,This Publication,,,,,,,,
68,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,LSUMZ 22338,Sucumbíos,Reserva Biológica Limoncocha,00 24' S,76 36' W,-0.400000,-76.633333,274,Tirira & Arévalo 2012,,,,,,,,
69,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,LSUMZ 22363,Sucumbíos,Reserva Biológica Limoncocha,00 24' S,76 36' W,-0.400000,-76.633333,274,Tirira & Arévalo 2012,,,,,,,,
70,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,QCAZ 7043,Sucumbíos,Sabalo,00 22' s,75 40' w,-0.366667,-75.666667,200,Tirira & Arévalo 2012,,,,,,,,
71,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 7543,Sucumbíos,Los Angeles,10009871,981731,-0.317993,-75.766199,350,This Publication,,,,,,,,
72,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 7544,Sucumbíos,Los Angeles,10009871,981731,-0.317993,-75.766199,350,This Publication,,,,,,,,
73,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 295,Sucumbíos,Pozo Diamante,"00°09'21"" N","77°09'36"" W",0.155833,-77.160000,410,Albuja 1999,,,,,,,,
74,Emballonuridae,Diclidurus albus,LFI,20.50,17 to 24 g (Tirira 2007),16.56,Pacifini et al. 2013,QCAZ 233,Cotopaxi,San Francisco de las Pampas,"00 25' 17.40""S","78 58' 03.72 ""W",-0.421500,-78.967700,1700,Tirira 1999; Jarrín-V. 2001,,,,,,,,
75,Emballonuridae,Diclidurus albus,LFI,20.50,17 to 24 g (Tirira 2007),16.56,Pacifini et al. 2013,MNHN 1957.149,Guayas,Chongon,02°14’S,80°04’W,-2.233333,-80.066667,50,Albuja 1982,,,,,,,,
76,Emballonuridae,Diclidurus albus,LFI,20.50,17 to 24 g (Tirira 2007),16.56,Pacifini et al. 2013,MECN 2813,Manabí,"Hostería Piqueros de Patas Azules, Salango a 10 km N de Ayampe",01°35’S,80°50’W,-1.583334,-80.833334,10,Moscoso & Tirira 2009,,,,,,,,
77,Emballonuridae,Diclidurus albus,LFI,20.50,17 to 24 g (Tirira 2007),16.56,Pacifini et al. 2013,N/A,Manabí,Refugio de Vida Silvestre Islas Corazón y Fragatas (RICF),"00º38’S,",80º20’W,-0.633333,-80.333333,0,Moscoso & Tirira 2009,,,,,,,,
78,Emballonuridae,Diclidurus albus,LFI,20.50,17 to 24 g (Tirira 2007),16.56,Pacifini et al. 2013,QCAZ 10147,Santo Domingo de los Tsáchilas,Otongachi,"00 18' 58"" S","78 56' 57""  W",-0.316306,-78.949194,937,Tirira 2008,,,,,,,,
79,Emballonuridae,Diclidurus scutatus,LFI,14.50,12 to 17 g (Tirira 2007),13.62,Pacifini et al. 2013,MEPN 5678,Sucumbíos,Campo Petrolero Sacha Norte,00°19'  S,76°52'  W,-0.316667,-76.866667,300,Albuja 1999; Albuja & Tapia 2004,,,,,,,,
80,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,MEPN 297,Carchi,"Puente Piedra (La Guaña), Parroquia Tobar Donoso, gruta sobre el río San Juan","01°02'20"" N","78°16'30"" W",1.038889,-78.275000,1100,Albuja 1999,,,,,,,,
81,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,MEPN 298,Carchi,"Puente Piedra (La Guaña), Parroquia Tobar Donoso, gruta sobre el río San Juan","01°02'20"" N","78°16'30"" W",1.038889,-78.275000,1100,Albuja 1999,,,,,,,,
82,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,MEPN 299,Carchi,"Puente Piedra (La Guaña), Parroquia Tobar Donoso, gruta sobre el río San Juan","01°02'20"" N","78°16'30"" W",1.038889,-78.275000,1100,Albuja 1999,,,,,,,,
83,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,MEPN 300,Carchi,"Puente Piedra (La Guaña), Parroquia Tobar Donoso, gruta sobre el río San Juan","01°02'20"" N","78°16'30"" W",1.038889,-78.275000,1100,Albuja 1999,,,,,,,,
84,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,MEPN 301,Carchi,"Puente Piedra (La Guaña), Parroquia Tobar Donoso, gruta sobre el río San Juan","01°02'20"" N","78°16'30"" W",1.038889,-78.275000,1100,Albuja 1999,,,,,,,,
85,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,AMNH 47202,El Oro,Portovelo,03 43' S,79 37' W,-3.716667,-79.616667,600,Sanborn 1937,,,,,,,,
86,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,AMNH 47203,El Oro,Portovelo,03 43' S,79 37' W,-3.716667,-79.616667,600,Sanborn 1937,,,,,,,,
87,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,AMNH 47204,El Oro,Portovelo,03 43' S,79 37' W,-3.716667,-79.616667,600,Sanborn 1937,,,,,,,,
88,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,AMNH 47205,El Oro,Portovelo,03 43' S,79 37' W,-3.716667,-79.616667,600,Sanborn 1937,,,,,,,,
89,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,AMNH 60533,El Oro,Portovelo,03 43' S,79 37' W,-3.716667,-79.616667,600,Sanborn 1937,,,,,,,,
90,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11497,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
91,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11498,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
92,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11499,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
93,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11500,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
94,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11501,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
95,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11502,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
96,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11503,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
97,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11504,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
98,Emballonuridae,Peropteryx kappleri,LFI,9.50,6 to 13 g (Tirira 2007),9.85,Pacifini et al. 2013,TCWC 11505,El Oro,Mina Tres Reyes,03 42' S,79 33' W,-3.700000,-79.550000,1140,Tirira & Arévalo 2012,,,,,,,,
